"","gridID","DPA_aA","ITP","ShrimpTrawl_pA","TrawlDredge_pA","GillPound_pA","RestrictedArea_pA","Waterbody_A","InletDist_km","SAV_km","ShorelineType","Sedsize_common","ShrimpTrawl_aA","TrawlDredge_aA","GillPound_aA","FishingAll_num","NoFishRest"
"1",8,0,"E",2.71347033699555,6.7258764029753,0,6.7258764228813,16.9532742369867,3.96718879924175,25.7288340899711,"Marsh","Mud",14.2398038999912,10.2273978340114,16.9532742369867,3,10.2273978141054
"2",35,0,"E",3.08178593264866,5.6444259110652,0.0260729259927199,5.76828381216749,6.27624125195155,11.3427021348599,45.4752992603156,"Marsh","Mud",3.19445531930289,0.631815340886348,6.25016832595883,3,0.507957439784056
"3",38,0,"E",7.88931165529518,38.7960643115733,0.176194289243309,38.9722586264532,57.4199715260848,8.86199413523797,16.4705669252773,"Marsh","Mud",49.5306598707896,18.6239072145116,57.2437772368415,3,18.4477128996317
"4",39,0,"E",0.108738885958087,1.81725001623235,0,1.81725001741123,2.61550450732669,14.6490215901498,13.0911650313362,"Marsh","Mud",2.50676562136861,0.798254491094349,2.61550450732669,3,0.798254489915462
"5",68,0,"E",0,12.0154118512021,4.12644422655028,16.1418560495092,28.921184522386,11.775834475435,10.2501765301299,"Sediment Bank","Mud",28.921184522386,16.9057726711839,24.7947402958357,3,12.7793284728767
"6",69,0,"E",0,10.4379010536492,0.00673097072055978,10.4446319748592,15.0756762478569,4.04078366998519,2.66317685909045,"Marsh shoreline waterward of a vertical structure","Sand",15.0756762478569,4.63777519420763,15.0689452771363,3,4.63104427299768
"7",98,0,"E",0,12.5739683794643,0.938644645780016,13.5126129737109,34.5411276583568,12.8605494630695,10.8274703566895,"Sediment Bank","Mud",34.5411276583568,21.9671592788925,33.6024830125768,3,21.0285146846459
"8",99,0,"E",0,5.81414637089595,0.352418220420591,6.16656449341567,25.0895614254225,6.57213634153419,1.43071966578995,"Modified","Mud",25.0895614254225,19.2754150545266,24.737143205002,3,18.9229969320069
"9",128,0,"E",0,6.63825476242425,0.75805773650747,7.39631230281569,28.3747728937916,17.8014925799021,14.9102338710091,"Modified","Mud",28.3747728937916,21.7365181313674,27.6167151572842,3,20.978460590976
"10",173,0,NA,0,0,0,0,0,49.0603294570835,46.75242185595,"Sediment Bank","Sand",0,0,0,0,0
"11",191,0,"E",0,5.46489905644211,0,5.46489905644133,27.0779443483679,10.0672717220537,2.95816213868967,"Marsh","Mud",27.0779443483679,21.6130452919258,27.0779443483679,3,21.6130452919266
"12",199,0,NA,0,0,0,0,0,25.8693681617652,27.1063981108683,"Miscellaneous","Mud",0,0,0,0,0
"13",222,0,"E",0,3.61467947461679,0.0724363454583869,3.6871158200751,14.6427666421888,15.4430151573543,5.9610248657776,"Marsh","Mud",14.6427666421888,11.028087167572,14.5703302967304,3,10.9556508221137
"14",223,0,"E",0,14.8477758869525,0,14.8477758869531,26.9811266485696,4.38758675183561,1.00434027423172,"Sediment Bank","Mud",26.9811266485696,12.1333507616171,26.9811266485696,3,12.1333507616165
"15",253,0,"E",0,36.6639312191645,0.540459549095533,37.2043904911375,41.7039699751916,10.5751627596309,1.56999281907166,"Modified","Mud",41.7039699751916,5.0400387560271,41.1635104260961,3,4.49957948405408
"16",255,0,"E",0,12.7009932175574,0,12.7009932175588,21.354074545953,3.32513458698067,2.46569811984926,"Marsh","Sand",21.354074545953,8.65308132839554,21.354074545953,3,8.65308132839417
"17",256,0.0268946962528486,"E",0,0.287431580627221,0,0.287431580627267,0.481055857802004,8.60056913564853,6.24750784230309,"Marsh","Sand",0.481055857802004,0.193624277174783,0.481055857802004,4,0.193624277174737
"18",283,0,"E",0,25.1500372933997,1.46117763191114,26.6112147668194,34.2039297405918,19.3441612664443,8.79931313659025,"Sediment Bank","Mud",34.2039297405918,9.05389244719209,32.7427521086806,3,7.59271497377234
"19",285,0,"E",5.98639235077598,23.7113353762223,0.244135159966196,23.9554707058195,30.9375500308034,8.34939074912678,3.24772752637858,"Miscellaneous","Mud",24.9511576800274,7.22621465458115,30.6934148708372,3,6.98207932498387
"20",286,19.0961864831224,"D2",0,19.6761779052657,0.188831761221669,19.86500963663,25.2279343412388,11.2602646384535,1.68185002709295,"Sediment Bank","Sand",25.2279343412388,5.55175643597304,25.0391025800171,4,5.3629247046088
"21",287,37.3267718155454,"D2",0,37.3218758517814,0,37.3218758517814,38.743271666036,20.7522172624809,0.635664640236338,"Marsh","Sand",38.743271666036,1.42139581425462,38.743271666036,4,1.42139581425463
"22",288,25.5587747594144,"D2",3.02883981011211,25.1944496744751,3.35390538358974,28.5486540302614,31.5649435206892,10.6627184405139,0.461550791081863,"Marsh shoreline waterward of a vertical structure","Mud",28.5361037105771,6.37049384621415,28.2110381370995,4,3.01628949042787
"23",289,37.1074182698727,"D2",0,44.6166838326659,0.0253716420000038,44.6699292280325,52.6434209472184,2.80469295517979,1.0964779314372,"Marsh","Sand",52.6434209472184,8.02673711455252,52.6180493052184,4,7.97349171918585
"24",291,13.9021762027807,"D1",11.4793743858217,15.7938865381864,1.57375631891651,15.7938865302133,18.6914663191447,14.7679852758998,3.14931046309317,"Marsh","Sand",7.21209193332297,2.89757978095824,17.1177100002282,4,2.8975797889314
"25",315,0,"E",2.12461954147786,2.12461955998929,0.563219898095039,2.68783962134171,17.3428503597865,18.646764200699,4.45153872595657,"Marsh","Mud",15.2182308183086,15.2182307997972,16.7796304616914,3,14.6550107384448
"26",318,5.15534830774782,"D2",5.11627083892484,5.46711213168487,2.7339918340622,8.20146928913032,13.8524493483376,16.8295504977611,7.371291128597,"Marsh","Mud",8.73617850941276,8.38533721665274,11.1184575142754,4,5.65098005920728
"27",319,11.7109290180761,"D2",0.328448228224154,16.5510913011977,0,16.7352843175626,32.4753322152995,13.3240375470153,5.24210166931402,"Marsh","Mud",32.1468839870754,15.9242409141018,32.4753322152995,4,15.7400478977369
